"%s","%s"
"%s already exist.","%s ya existen."
"%s already exists.","%s ya existe."
"-- Please Select --","-- Seleccione, por favor --"
"Validation has failed.","Validación ha fallado."
"Values less than 60 are ignored. Note that changes will apply after logout.","Los valores por debajo de 60 se ignoran. Tenga en cuenta que los cambios se aplicarán después de la desconexión"
"Variable Code must be unique.","El código de variable debe ser único."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","¡Advertencia! No se recomienda habilitar esta función en un entorno de producción ya que representa un potencial riesgo a la seguridad."
"Web","Web"
"Website","Sitio web"
"Website Information","Sitio web Información"
"Website Name","Sitio web Nombre"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","El código del sitio web sólo debe contener letras (a-z), números (0-9) o guiones bajos (_), el primer carácter debe ser una letra."
"Website with the same code","Ya existe un sitio web con el mismo código"
"Weekend Days","Días fin de semana"
"Welcome Text","Texto de bienvenida"
"Windows server only","Sólo servidor de Windows"
"Wrong file info format","Formato de información del archivo incorrecto"
"Wrong number of arguments for %s","Número incorrecto de argumentos para %s"
"Wrong old style column type definition: {$definition}.","Definición errónea de tipo de columna de estilo antiguo: {$definition}."
"Yes","Sí"
"You will have to log in after you save your custom admin path.","Tendrá que iniciar sesión después de guardar su ruta de acceso de administrador personalizada."
"Your design change for the specified store intersects with another one, please specify another date range.","Su cambio de diseño para la tienda especificada se superpone con otro. Especifique otro rango de fecha."
"database ""%s""","Banco de datos ""%s"""
