"# of Use","Nº de uso"
"%1$s incl tax.","%1$ incluido impuestos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"%s and above","%s y superior"
"%s-%s of %s","%s-%s de %s"
"Product Extra Info","Información extra del artículo"
"Product Flat Data","Datos fijos de artículo"
"Product ID","ID de artículo"
"Product Image","Imagen de artículo"
"Product Image Placeholders","Marcadores de posición de imagen de artículo"
"Product Image Watermarks","Marcas de agua de imagen de artículo"
"Product Images","Imágenes de artículo"
"Product Images API","API de imágenes de artículo"
"Product In Websites","Artículo en sitios web"
"Product Info Column","Columna de información de artículo"
"Product Information","Información de artículo"
"Product Link Block Template","Plantilla de bloque de Vínculo de artículo"
"Product Link Inline Template","Plantilla en línea de Vínculo de artículo"
"Product Listing Sort by","Listado de artículos ordenado por"
"Product Name","Nombre de artículo"
"Product Prices","Precios de artículo"
"Product Reviews","Opiniones de artículo"
"Product Tags","Etiqueta de artículo"
"Product Tier Price API","API de precio de nivel de artículo"
"Product Type","Tipo de artículo"
"Product URL Suffix","Sufijo de URL de artículo"
"Product View Extra Hint","Sugerencia adicional de Vista de artículo"
"Product attribute sets API","API de conjuntos de atributo de artículo"
"Product attributes API","API de atributos de artículo"
"Product collection expected.","Colección esperada de artículo."
"Product is not loaded","El artículo no se ha cargado"
"Product links API (related, cross sells, up sells)","API de vínculos de artículo (relacionados, ventas cruzadas, ventas ampliadas)"
"Product name","Nombre de artículo"
"Product types API","API de tipos de artículo"
"Product with this combination of attributes already associated to configurable.","El artículo con esta combinación de atributos ya ha sido asociado a configurables."
"Products","Artículos"
"Products Comparison List","Lista de Comparación de artículos"
"Products Information","Información de artículos"
"Products Reviews","Opiniones de artículos"
"Products Sitemap","Mapa del sitio de artículos"
"Products only","Sólo artículos"
"Products per Page on Grid Allowed Values","Artículos por página (valores permitidos por la cuadrícula)"
"Products per Page on Grid Default Value","Artículos por página (predeterminado por la cuadrícula)"
"Products per Page on List Allowed Values","Artículos por página (valores permitidos por la lista)"
"Products per Page on List Default Value","Artículos por página (predeterminado por la lista)"
"Properties","Propiedades"
"Qty","Cantidad"
"Qty Increments","Incrementos de cantidad"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Qty for Item\'s Status to Become Out of Stock","Cantidad de artículos antes de estar fuera de existencia"
"Qty:","Cantidad:"
"Quantity","Cantidad"
"Quick Create","Creación rápida"
"Quick Overview","Descripción rápida"
"Quick simple product creation","Creación rápida de artículo sencillo"
"Records for ""%s"" store found.","Se han encontrado registros para la tienda ""%s""."
"Recurring Payment Profile","Perfil de pago recurrente"
"Redirect","Redirigir"
"Redirect URL","Redirigir URL"
"Regular Price:","Precio habitual:"
"Related Products","Artículos relacionados"
"Remove","Borrar"
"Remove Product From Websites","Eliminar el artículo de los sitios de Internet"
"Remove This Item","Eliminar este artículo"
"Remove attribute from attribute set","Eliminar atributo de conjunto de atributos"
"Remove attribute set","Eliminar conjunto de atributos"
"Remove custom option","Eliminar opción personalizada"
"Remove group from attribute set","Eliminar grupo de conjunto de atributos"
"Remove option","Eliminar opción"
"Remove product assignment","Eliminar la asignación de artículo"
"Remove product image","Eliminar imagen del artículo"
"Remove product link","Eliminar el enlace del artículo"
"Remove value from custom option","Eliminar valor de las opciones de personalización"
"Rename existing group","Renombrar un grupo existente"
"Rename group","Renombrar un grupo"
"Reorganize EAV category structure to flat structure","Reorganizar la esctructura de categoría EAV a una estructura plana"
"Reorganize EAV product structure to flat structure","Reorganizar la esctructura de artículo EAV a una estructura plana"
"Reset","Reiniciar"
"Results","Resultados"
"Results per page","Resultados por página"
"Retrieve attribute data","Recuperar datos de atributo"
"Retrieve attribute list","Recuperar la lista de atributo"
"Retrieve attribute options","Recuperar las opciones de atributo"
"Retrieve categories tree","Recuperar árbol de categorías"
"Retrieve category attributes","Recuperar los atributos de categorías"
"Retrieve category data","Recuperar los datos de categorías"
"Retrieve hierarchical tree","Recuperar el árbol jerárquico"
"Retrieve linked products","Recuperar los artículos enlazados"
"Retrieve list of assigned products","Recuperar la lista de artículos asignados"
"Retrieve list of option values","Recuperar lista de valores de opción"
"Retrieve list of product custom options","Recuperar lista de opciones de personalización del artículo"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categorías por sitio de Internet/vista de tienda/categoría matriz"
"Retrieve option value info","Recuperar información sobre el valor de opción"
"Retrieve product","Recuperar artículo"
"Retrieve product attribute sets","Recuperar conjuntos de atributos de artículo"
"Retrieve product image","Recuperar imagen del artículo"
"Retrieve product image list","Recuperar lista de imágenes de artículo"
"Retrieve product image types","Recuperar tipos de imágenes de artículo"
"Retrieve product link type attributes","Recuperar atributos de tipo de enlace de artículo"
"Retrieve product link types","Recuperar tipos de enlace de artículo"
"Retrieve product tier prices","Recuperar precios de nivel de artículo"
"Retrieve product types","Recuperar tipos de artículo"
"Retrieve products data","Recuperar datos de artículos"
"Retrieve products list by filters","Recuperar lista de artículos por medio de filtros"
"Reviews","Reseñas"
"Roll Over for preview","Desplegar para visualización previa"
"Root","Raíz"
"SKU","SKU (Número de Referencia)"
"SKU length should be %s characters maximum.","La longitud de SKU debe ser de un máximo de % carácteres."
"Save","Guardar"
"Save Attribute","Guardar atributo"
"Save Attribute Set","Grabar conjunto de atributos"
"Save Category","Guardar categoría"
"Save Search","Guardar búsqueda"
"Save and Continue Edit","Guardar y continuar editando"
"Saved %d record(s)","Registro(s) %d guardado(s)"
"Scope","Alcance"
"Scope must not be changed, because the attribute is used in configurable products.","No se puede cambiar el ámbito de aplicación, dado que el atributo se utiliza en artículos configurables."
"Search","Buscar"
"Search Engine Optimizations","Optimizaciones de motor de búsqueda"
"Search Information","Información de búsqueda"
"Search Query","Consulta de búsqueda"
"Search Term with such search query already exists.","Ya existe un término de búsqueda con esa consulta."
"Search Weight","Buscar peso"
"Searchable","Buscable"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"Select Category...","Seleccionar categoría..."
"Select Configurable Attributes ","Seleccionar atributos configurables"
"Select Product...","Seleccionar artículo..."
"Select type of option","Seleccionar tipo de opción"
"Select type options required values rows.","Determinados tipos de opciones requieren filas de valores."
"Selected Product Types","Tipos de artículos seleccionados"
"Selected configuration is not available.","La configuración seleccionada no es disponible."
"Send Count","Cantidad de envíos"
"Set Ascending Direction","En sentido ascendente"
"Set Descending Direction","Establecer dirección descendente"
"Set Name","Nombre del conjunto"
"Set Product as New from Date","Establecer producto como nuevo desde"
"Set Product as New to Date","Establecer producto como nuevo hasta"
"Set Root Category for Store","Establecer categoría raíz para la tienda"
"Set root category for this store in the <a href=""%s"">configuration</a>","Programar una categoría raíz de esta tienda en la <a href=""%s"">configuración</a>"
"Set special price","Establecer precio especial"
"Set/Get current store view","Establecer/Obtener la vista actual de la tienda"
"Settings","Configuración"
"Share Facebook","Compartir en Facebook"
"Share on Facebook","Compartir en Facebook"
"Share on Twitter","Compartir en Twitter"
"Shop By","Comprar por"
"Shopping Options","Opciones de compra"
"Short Description","Descripción corta"
"Show","Mostrar"
"Show Details","Mostrar detalles"
"Show Tags","Mostrar etiquetas"
"Simple Product","Artículos simples"
"Site Map","Mapa de sitio"
"Sitemap","Mapa del sitio"
"Skip import row, is not valid value ""%s"" for field ""%s""","Saltarse importar fila, no es un valor válido ""%s"" para el campo ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Omitir la fila de importación, el campo obligatorio ""%s"" para el nuevo cliente no está definido."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Saltarse importar la fila, el valor ""%s"" no es válido para el campo ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Saltando una fila importante, el campo obligatorio ""%s"" para nuevos artículos no está definido."
"Skipping import row, required field ""%s"" is not defined.","Omitir la fila de importación, el campo obligatorio ""%s"" no está definido."
"Skipping import row, store ""%s"" field does not exist.","Saltándose la importación de fila, el campo de reserva ""%s"" no existe."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Omitir la fila de importación, el valor ""%s"" no es válido para el campo ""%s""."
"Small Image Width","Vista normal ancho"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Algunos de los artículos procesados no tienen un valor SKU definido. Por favor, rellénalo antes de operar con esos artículos."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Algunos de los productos siguientes no cumplen con todas las opciones necesarias. Por favor, editarlos y configurar todas las opciones necesarias."
"Some of the selected item options are not currently available.","Algunos de los artículos seleccionados no están disponibles en este momento."
"Sort By","Ordenar por"
"Sort Order","Secuencia de clasificación"
"Source Model","Modelo de origen"
"Special Expires On: %s","Especial expira en: %s"
"Special Price","Precio especial"
"Special Price:","Precio especial:"
"Special Price: %s","Precio especial: %"
"Special Price From Date","Precio especial a partir de"
"Special Price To Date","Precio especial hasta"
"Starting at:","Inicio:"
"Static","Estático"
"Static block and products","Bloque y artículos estáticos"
"Static block only","Solo bloque estático"
"Status","Estado"
"Stock Availability","Disponibilidad de inventario"
"Store","Tienda"
"Store View","Vista de tienda"
"Stretch","Flexibilidad"
"Subscribe to RSS Feed","Suscribirse a las noticias por RSS"
"Super product attributes configuration","Configuración de atributos de artículo superior"
"Synonym For","Sinónimo para"
"System Properties","Propiedades del sistema"
"Tag Name","Nombre de la etiqueta"
"Tax","Impuestos"
"Template","Plantilla"
"Text","Texto"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","El módulo de Catálogo de Planos tiene un límite de %2\$d atributos filtrables y ordenables. Actualmente hay %1\$d de ellos. Por favor, reduce el número de atributos filtrables/ordenables para poder usar este módulo"
"The From Date value should be less than or equal to the To Date value.","El valor ""Desde la fecha"" debe ser inferior o igual al valor ""Hasta la fecha""."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","El código de atributo \'%s\' está reservado por el sistema. Por favor, prueba con otro código de atributo"
"The attribute model is not defined","El modelo de atributo no está definido"
"The attribute set has been saved.","Se ha guardado el conjunto de atributos."
"The base directory to upload file is not specified.","El directorio base para cargar el archivo no ha sido especificado."
"The category has been deleted.","Se eliminó la categoría."
"The category has been saved.","Se ha guardado la categoría."
"The comparison list was cleared.","Se borró la lista de comparación."
"The file '%s' for '%s' has an invalid extension","El archivo '%s' para '%s' tiene una extensión no válida"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","El archivo '%s' subido es mayor que los '%s' Megabytes permitidos por el servidor"
"The file you uploaded is larger than %s Megabytes allowed by server","El archivo que has subido es más grande de % Megabytes admitidos por el servidor."
"The filters must be an array.","Los filtros deben ser una disposición."
"The image contents is not valid base64 data.","El contenido de la imagen no es un dato base64 válido."
"The image is not specified.","No se especificó la imagen."
"The model collection resource name is not defined.","El nombre del recurso de la colección de modelos no está definido."
"The product %s has been added to comparison list.","Se agregó el artículo %s a la lista de comparación."
"The product %s has been removed from comparison list.","Se eliminó el artículo %s de la lista de comparación."
"The product attribute has been deleted.","Se eliminó el atributo de artículo."
"The product attribute has been saved.","Se guardó el atributo de artículo."
"The product has been created.","Se creó el artículo."
"The product has been deleted.","Se eliminó el artículo."
"The product has been duplicated.","Se duplicó el artículo."
"The product has been saved.","Se ha guardado el artículo."
"The product has required options","El artículo tiene opciones obligatorias"
"The review has been deleted","Se eliminó la reseña"
"The review has been saved.","Se guardó la reseña."
"The review was removed by another user or does not exist.","La reseña no existe o fue eliminada por otro usuario."
"The search was deleted.","Se eliminó la búsqueda."
"The text is too long","El texto es demasiado largo."
"There are no %s available.","No hay %s disponibles."
"There are no customers for this alert","No hay clientes para esta alerta"
"There are no customers for this alert.","No hay clientes para esta alerta."
"There are no products matching the selection.","No hay ningún artículo que se ajuste a su selección."
"There was an error while request processing.","Ocurrió un error al procesar la petición."
"This Attribute no longer exists","Este atributo ya no existe."
"This attribute cannot be deleted.","No puede eliminarse este atributo."
"This attribute cannot be edited.","No se puede editar este atributo."
"This attribute cannot be updated.","No puede actualizarse este atributo."
"This attribute is used in configurable products.","Este atributo se utiliza en artículos configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo se utiliza en artículos configurables. No es posible eliminarlo del conjunto de atributos."
"This attribute no longer exists","Este atributo ya no existe."
"This attribute set no longer exists.","Este conjunto de atributos ya no existe."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene atributos utilizados en artículos configurables. Páselos a otro grupo y vuelva a intentarlo."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Pase los atributos del sistema a otro grupo y vuelva a intentarlo."
"This is a required option","Esta es una opción obligatoria"
"This product no longer exists.","Este artículo ya no existe."
"This search no longer exists.","Esta búsqueda ya no existe."
"This setting will be applied when all prices in the specific price interval are equal.","Esta configuración se aplicará cuando todos los precios en el intervalo de precios específicos sean iguales."
"Tier Price","Precio escalonado"
"Tier Pricing","Precio de nivel"
"Tile","Mosaico"
"Time Format","Formato de hora"
"Title","Título"
"To reindex the enabled product(s), the store or product must be specified","Para reindexar el artículo(s) activado(s), se ha de especificar la tienda o el artículo"
"To see product price, add this item to your cart. You can always remove it later.","Para ver el precio del artículo añade este artículo al carrito. Siempre puedes eliminarlo posteriormente."
"Top/Left","Superior/izquierda"
"Top/Right","Arriba/Derecha"
"Total Qty Base Items","Cant. total de artículos básicos"
"Total Qty Content Items","Cantidad total de artículos contenidos"
"Total incl. Tax: %1$s","Total con impuestos inculido: %1$"
"Total of %d record(s) have been deleted.","Total de % registrado se ha eliminado."
"Total of %d record(s) have been updated.","Se actualizó un total de %d registro(s)."
"Total of %d record(s) were updated","Se han actualizado un total de %d registro(s)"
"Type","Tipo"
"URL Rewrite Management","Gestión de reescritura de URL"
"Unable to complete this request.","No se puede completar esta solicitud."
"Unable to find a search term to delete.","No se puede encontrar un término de búsqueda para eliminar."
"Unable to find an attribute to delete.","No se puede encontrar un atributo para eliminar."
"Unable to get the product ID.","No ha sido posible obtener el ID de artículo."
"Unassigned Attributes","Atributos sin asignar"
"Unknown EAV indexer type ""%s"".","Tipo de indexador EAV desconocido ""%s""."
"Unknown attribute: %s.","Atributo desconocido: %s."
"Unsupported product type ""%s"".","Tipo de artículo no compatible ""%s""."
"Up-sells","Ventas ampliadas"
"Update","Actualización"
"Update Attributes","Actualizar atributos"
"Update Tier Price","Actualizar precio de capa"
"Update assigned product","Actualizar artículo asignado"
"Update attribute","Actualizar atributo"
"Update attributes","Actualizar atributos"
"Update category","Actualizar categoría"
"Update custom option of product","Actualizar opción personalizada del artículo"
"Update product","Actualizar artículo"
"Update product image","Actualizar imagen del artículo"
"Update product link","Actualizar enlace del artículo"
"Update product tier prices","Actualizar precios de capa de artículos"
"Update value of custom option","Actualizar valor de la opción personalizada"
"Upload new product image ","Cargar nueva imagen del artículo"
"Use Canonical Link Meta Tag For Categories","Utilizar metaetiqueta de enlace canónico para categorías"
"Use Canonical Link Meta Tag For Products","Utilizar meta-etiqueta de enlace canónico para los artículos"
"Use Categories Path for Product URLs","Utilizar ruta de categorías para direcciones URL de artículos"
"Use Config Settings","Usar opciones de configuración"
"Use Default Value","Usar valor por defecto"
"Use Flat Catalog Category","Utilizar categoría de catálogo plano"
"Use Flat Catalog Product","Utilizar artículo de catálogo plano"
"Use In Layered Navigation","Utilizar en navegación por capas"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar en la navegacion por capas<br/>(Puede ser usado solo con el tipo de entrada del catálogo de menú 'Desplegable')"
"Use In Search Results Layered Navigation","Utilizar en la navegación por capas de los resultados de búsqueda"
"Use JavaScript Calendar","Utilizar calendario de JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilizar URL estáticas para contenido multimedia en WYSIWYG para el catálogo"
"Use To Create Configurable Product","Utilizar para crear artículo configurable"
"Use Tree Like Category Sitemap","Utilizar mapa de sitio con categorías jerárquicas"
"Use categories path for product URLs","Usar rutas de categorías para la URL de los artículos"
"Use config","Usar configuración"
"Use default","Uso por defecto"
"Use for Promo Rule Conditions","Utilizar para condiciones de reglas de promoción"
"Use four-digit year format.","Utilizar formato de año de cuatro dígitos."
"Use in Advanced Search","Utilizar en búsqueda avanzada"
"Use in Layered Navigation","Usar en navegación por capas"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utilizar en navegación por capas<br/>(Puede utilizarse sólo con el tipo de entrada de catálogo 'Lista desplegable')"
"Use in Quick Search","Utilizar en búsqueda rápida"
"Used for Sorting in Product Listing","Se utiliza para ordenar las listas de artículos"
"Used in Product Listing","Se utiliza en las listas de artículos"
"Value for ""%s"" is invalid.","El valor para ""%s"" es inválido."
"Value for ""%s"" is invalid: %s","Valor para ""%"" no es válido: %"
"Varchar","Varchar"
"View Details","Ver detalles"
"View as","Ver como"
"Virtual Product","Artículos virtuales"
"Visibility","Visibilidad"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible en páginas de catálogo en la parte pública"
"Visible on Product View Page on Front-end","Visible en página de artículo en la parte pública"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark","Marca de agua"
"Watermark Default Size","Tamaño de la marca de agua (predeterminado)"
"Watermark Opacity, Percent","Opacidad de la marca de agua, porcentaje"
"Watermark Position","Posición de la marca de agua"
"We Also Recommend","También recomendamos"
"Website","Sitio web"
"Website Item Must be checked","Debe controlarse el artículo del sitio web"
"Website Store Must be checked","Debe controlarse la tienda del sitio web"
"Websites","Páginas web"
"What's this?","¿Qué es esto?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Preguntar si mostrar ""Todas"" las opciones en el desplegable ""Mostrar X por página""."
"Will make search for the query above return results for this search.","Realizar la búsqueda para la consulta anterior devuelve resultados para esta búsqueda."
"Wrong BuyRequest instance in options group.","Instancia incorrecta de BuyRequest en el grupo de opciones."
"Wrong configuration item instance in options group.","Configuración de ejemplo de artículo incorrecta en el grupo de opciones."
"Wrong configuration item option instance in options group.","Configuración de ejemplo de opción de artículo incorrecta en el grupo de opciones."
"Wrong option instance type in options group.","Instancia de opción incorrecta en el grupo de opciones."
"Wrong option type to get group instance.","Tipo de opción incorrecto en el grupo de opciones."
"Wrong product instance type in options group.","Tipo de instancia de artículo no válido en el grupo de opciones."
"Wrong product type filter specified","Se especificó un filtro de tipo de artículo incorrecto"
"Wrong product type to extract configurable options.","Tipo de artículo incorrecto para extraer opciones configurables."
"Year Range","Rango de años"
"Yes","Sí"
"You cannot remove system attribute from this set.","No es posible eliminar atributos del sistema de este conjunto."
"You have no items to compare.","No tiene artículos para comparar."
"You may also be interested in the following product(s)","Te podría(n) interesar también el/los siguiente(s) artículo(s)"
"Zoom In","Aumentar"
"Zoom Out","Alejar"
"and","y"
"and above","y por encima"
"categories","Categorías"
"comma separated","Separadas por comas"
"each","cada uno"
"ex. http://domain.com","por ejemplo, http://dominio.es"
"leave blank if its not an image","dejar en blanco, si no es una imagen"
"per page","por página"
"products","Artículos"
"px.","px."
"save","guardar"
"select all","seleccionar todo"
"unselect all","deseleccionar todo"
"x","x"
